Original_Score,learned_Scores,Ranking_Score_from_Postprocessing,Sensitive_Attribute
0.389145691,0.389145691,0.6928848148324811,True
0.516384179,0.516384179,0.6928735939268591,False
0.538553972,0.538553972,0.6928575349665853,True
0.435826078,0.435826078,0.6928338964688256,True
0.431903366,0.431903366,0.6928018225469437,True
0.455591992,0.455591992,0.6927621511491178,True
0.484406174,0.484406174,0.692707881373736,True
0.461554118,0.461554118,0.6926365851161572,True
0.552532993,0.552532993,0.6925450679299736,True
0.51829006,0.51829006,0.6923963163954063,True
0.416880175,0.416880175,0.6920813587592667,False
0.518193712,0.518193712,0.6918973625498446,True
0.637115574,0.637115574,0.6917241231624155,True
0.392992229,0.392992229,0.6913744331572502,False
0.545424327,0.545424327,0.6909008472301503,False
0.626400036,0.626400036,0.6902334721203824,True
0.4270104,0.4270104,0.6894228938679758,False
0.528453856,0.528453856,0.68782557759832,False
0.321267721,0.321267721,0.6869608018265245,False
0.368951631,0.368951631,0.6843656471063979,True
0.543519801,0.543519801,0.6825673343690248,True
0.476348482,0.476348482,0.678229598653677,True
0.617404307,0.617404307,0.6757072677106353,True
0.501290835,0.501290835,0.6679570162586996,True
0.550060466,0.550060466,0.6623631402407795,True
0.5994821,0.5994821,0.6449356597684348,True
0.506866366,0.506866366,0.6215995163171684,True
0.496130655,0.496130655,0.550044882673419,False
0.600715353,0.600715353,0.47363264806610417,True
0.790280217,0.790280217,0.0,True
0.761418313,0.761418313,0.0,True
0.744449197,0.744449197,0.0,False
0.731606027,0.731606027,0.0,True
0.72302068,0.72302068,0.0,True
0.72145307,0.72145307,0.0,True
0.712601111,0.712601111,0.0,True
0.711459991,0.711459991,0.0,True
0.710031333,0.710031333,0.0,True
0.700277015,0.700277015,0.0,False
0.696901829,0.696901829,0.0,False
0.694348159,0.694348159,0.0,True
0.693609141,0.693609141,0.0,True
0.693068539,0.693068539,0.0,True
0.691957378,0.691957378,0.0,True
0.689963428,0.689963428,0.0,True
0.686877437,0.686877437,0.0,True
0.686238379,0.686238379,0.0,False
0.681490236,0.681490236,0.0,False
0.672584081,0.672584081,0.0,False
0.671984466,0.671984466,0.0,True
0.670373801,0.670373801,0.0,True
0.670258184,0.670258184,0.0,False
0.669780358,0.669780358,0.0,False
0.668269955,0.668269955,0.0,True
0.664675126,0.664675126,0.0,True
0.663366,0.663366,0.0,False
0.663230962,0.663230962,0.0,False
0.662869959,0.662869959,0.0,True
0.662783246,0.662783246,0.0,True
0.66152139,0.66152139,0.0,True
0.66134977,0.66134977,0.0,True
0.661154365,0.661154365,0.0,True
0.66050206,0.66050206,0.0,True
0.66044109,0.66044109,0.0,True
0.658365245,0.658365245,0.0,True
0.657064398,0.657064398,0.0,False
0.656994847,0.656994847,0.0,True
0.656019024,0.656019024,0.0,True
0.655801338,0.655801338,0.0,True
0.654590065,0.654590065,0.0,True
0.654033957,0.654033957,0.0,True
0.653960793,0.653960793,0.0,True
0.653749881,0.653749881,0.0,True
0.652919935,0.652919935,0.0,True
0.652528221,0.652528221,0.0,True
0.651747502,0.651747502,0.0,True
0.651513105,0.651513105,0.0,True
0.651267418,0.651267418,0.0,True
0.650915749,0.650915749,0.0,True
0.650863811,0.650863811,0.0,True
0.650310263,0.650310263,0.0,True
0.649756714,0.649756714,0.0,True
0.649524576,0.649524576,0.0,True
0.648754997,0.648754997,0.0,False
0.648647509,0.648647509,0.0,False
0.647876727,0.647876727,0.0,True
0.647751023,0.647751023,0.0,False
0.64558154,0.64558154,0.0,True
0.644284306,0.644284306,0.0,False
0.642729342,0.642729342,0.0,False
0.642121447,0.642121447,0.0,True
0.641770831,0.641770831,0.0,True
0.64145198,0.64145198,0.0,False
0.641267564,0.641267564,0.0,False
0.641128462,0.641128462,0.0,True
0.639214452,0.639214452,0.0,True
0.639173203,0.639173203,0.0,True
0.638944678,0.638944678,0.0,True
0.638712841,0.638712841,0.0,True
0.637994447,0.637994447,0.0,True
