Original_Score,learned_Scores,Ranking_Score_from_Postprocessing,Sensitive_Attribute
0.516384179,0.516384179,0.5592182796608828,False
0.538553972,0.538553972,0.5592160505909065,False
0.435826078,0.435826078,0.5592120200206139,False
0.431903366,0.431903366,0.5592057747104915,True
0.455591992,0.455591992,0.5591977309325402,False
0.484406174,0.484406174,0.5591849195869972,False
0.461554118,0.461554118,0.559166164149608,False
0.552532993,0.552532993,0.5591408330485287,False
0.51829006,0.51829006,0.5590853727553529,True
0.416880175,0.416880175,0.5588737687304455,False
0.518193712,0.518193712,0.5588202565192503,True
0.637115574,0.637115574,0.5588066288367662,False
0.392992229,0.392992229,0.5586488542515448,True
0.545424327,0.545424327,0.5583959545461942,True
0.626400036,0.626400036,0.5579784766613731,False
0.4270104,0.4270104,0.5574246380826257,True
0.528453856,0.528453856,0.5556502186515067,True
0.321267721,0.321267721,0.5553821433511257,True
0.368951631,0.368951631,0.5515844181103643,True
0.543519801,0.543519801,0.5500543695776838,False
0.476348482,0.476348482,0.5409111829580634,False
0.617404307,0.617404307,0.5395491665185602,False
0.501290835,0.501290835,0.5187659476422213,False
0.550060466,0.550060466,0.5173847712306618,False
0.506866366,0.506866366,0.5024857104368368,False
0.5994821,0.5994821,0.49607603046021886,False
0.600715353,0.600715353,0.4933521472019594,False
0.496130655,0.496130655,0.49320173191165023,True
0.790280217,0.790280217,0.0,False
0.761418313,0.761418313,0.0,False
0.744449197,0.744449197,0.0,True
0.731606027,0.731606027,0.0,True
0.72302068,0.72302068,0.0,False
0.72145307,0.72145307,0.0,False
0.712601111,0.712601111,0.0,False
0.711459991,0.711459991,0.0,True
0.710031333,0.710031333,0.0,False
0.700277015,0.700277015,0.0,True
0.696901829,0.696901829,0.0,False
0.694348159,0.694348159,0.0,False
0.693609141,0.693609141,0.0,False
0.693068539,0.693068539,0.0,False
0.691957378,0.691957378,0.0,False
0.689963428,0.689963428,0.0,False
0.686877437,0.686877437,0.0,True
0.686238379,0.686238379,0.0,False
0.681490236,0.681490236,0.0,False
0.672584081,0.672584081,0.0,False
0.671984466,0.671984466,0.0,False
0.670373801,0.670373801,0.0,False
0.670258184,0.670258184,0.0,False
0.669780358,0.669780358,0.0,True
0.668269955,0.668269955,0.0,False
0.664675126,0.664675126,0.0,False
0.663366,0.663366,0.0,False
0.663230962,0.663230962,0.0,True
0.662869959,0.662869959,0.0,True
0.662783246,0.662783246,0.0,False
0.66152139,0.66152139,0.0,True
0.66134977,0.66134977,0.0,False
0.661154365,0.661154365,0.0,True
0.66050206,0.66050206,0.0,False
0.66044109,0.66044109,0.0,True
0.658365245,0.658365245,0.0,False
0.657064398,0.657064398,0.0,False
0.656994847,0.656994847,0.0,False
0.656019024,0.656019024,0.0,False
0.655801338,0.655801338,0.0,False
0.654590065,0.654590065,0.0,False
0.654033957,0.654033957,0.0,False
0.653960793,0.653960793,0.0,True
0.653749881,0.653749881,0.0,False
0.652919935,0.652919935,0.0,False
0.652528221,0.652528221,0.0,False
0.651747502,0.651747502,0.0,False
0.651513105,0.651513105,0.0,False
0.651267418,0.651267418,0.0,False
0.650915749,0.650915749,0.0,False
0.650863811,0.650863811,0.0,True
0.650310263,0.650310263,0.0,True
0.649756714,0.649756714,0.0,True
0.649524576,0.649524576,0.0,False
0.648754997,0.648754997,0.0,False
0.648647509,0.648647509,0.0,True
0.647876727,0.647876727,0.0,False
0.647751023,0.647751023,0.0,False
0.64558154,0.64558154,0.0,False
0.644284306,0.644284306,0.0,True
0.642729342,0.642729342,0.0,True
0.642121447,0.642121447,0.0,True
0.641770831,0.641770831,0.0,False
0.64145198,0.64145198,0.0,False
0.641267564,0.641267564,0.0,False
0.641128462,0.641128462,0.0,False
0.639214452,0.639214452,0.0,False
0.639173203,0.639173203,0.0,False
0.638944678,0.638944678,0.0,False
0.638712841,0.638712841,0.0,False
0.637994447,0.637994447,0.0,True
0.636732441,0.636732441,0.0,False
